30f1f,30f2f,30f3f,30f4f,30f5f,30f7f,30f6f,30f8f,30f9f,30f10f,50f1f,50f2f,50f4f,50f3f,50f5f,50f6f,50f7f,50f8f,50f9f,70f10f,70f8f,70f9f,70f7f,70f6f,70f5f,70f4f,70f3f,70f2f,70f1f,50f11f,50f10f,30f1m,30f3m,30f3m,30f4m,30f5m,30f7m,30f6m,30f8m,30f9m,30f10m,50f1m,50f2m,50f4m,50f3m,50f5m,50f6m,50f7m,50f8m,50f9m,50f11m,50f10m,70f1m,70f2m,70f3m,70f4m,70f5m,70f6m,70f7m,70f8m,70f9m,70f10m,Q262,Q264,Q270
"
1",,"
1",2,,6,,,,"
1",5,"
1",,,,,3,,"
1","

7",,,,5,,6,2,5,,,3,"

7",,,"

7",,"

7","

7","

7",6,,,"

7",4,,"

7","Mycket manlgit

7",,2,,,5,"

7",,,,2,,,,"
1",,45,Kvinna,
,"
1",4,,,4,,2,,,6,,,,,3,,,4,6,,"

7",2,,"

7",4,4,,4,2,,,,,,"

7",,,,"

7",,,6,,3,"

7",,,4,,6,4,6,,4,,2,4,,4,2,3,54,Kvinna,"Underlig studie i dessa tider, när kön och genus mer och mer suddas ut. Det känns något irrelevant att tänka på nån som ""kvinnlig"" eller ""manlig"", faktiskt."
,,,"
1","
1",3,,2,2,"
1",4,3,6,4,"
1",,,,,,,,,5,,,,5,2,3,,,5,,,,,4,,4,,2,,,,,,4,2,3,2,4,3,"
1",,,"
1",,2,"
1",,"
1",26,Kvinna ,Intressant 
"
1",,4,"
1","
1",4,"
1","
1","
1",,,,,5,,,,5,,6,,,,,5,,,"

7","
1",,2,6,6,,,,,5,,5,,,5,"
1","
1",5,,,,3,,5,5,,,,"
1","
1",,2,"
1",,40,Kvinna ,
,"
1",3,2,,3,"
1",,2,"
1",,3,,,,3,,4,,"

7",,,,4,,,6,,2,,3,4,"

7",3,4,,3,,,,,2,3,,2,,,,,,2,,3,2,,,"
1",,,2,"
1","
1",33,Kvinna,
,,2,,"
1",3,4,,,,,,4,4,3,,4,,,5,,,6,,,5,6,6,2,5,,,"

7","

7",,,,5,,6,,4,"

7",5,,,,4,3,,,"

7",,,4,4,,4,,"
1",,"
1",62,Kvinna,Jag tyckte att de flesta av ansiktena kunde tillhöra båda könen.
4,"
1",,2,,,,,4,2,,,,,,2,3,5,4,6,6,,,,,"

7","

7",5,2,,,,,,,5,"

7",6,,,4,2,4,"
1",,"

7",5,2,,,,,,"
1","
1","
1",,,,2,"
1",,50,Kvinna,
,,"
1",2,2,,3,3,,2,4,2,2,,,2,,,2,,,6,,,5,,4,,,,3,,,6,,"

7",5,6,5,6,,,5,,,6,5,,,5,3,,6,,5,4,,,,4,,,61,kvinna,Lätt att förstå och intressant ämne
,,,,2,2,2,"
1",2,,4,,,,"
1",3,2,,2,,,,4,,4,,,4,,4,2,3,,2,,,,,,"
1",3,2,2,,2,,,3,,3,2,2,3,"
1",,,,2,,,"
1",,45,Kvinna,"Lite konstiga ansikten ibland, som om man photoshoppat och misslyckats"
"
1","
1",,"
1",,2,"
1",,,"
1",4,,,,,,"
1",,3,,,,5,,,5,4,6,,3,2,,"

7",,5,"

7",,,,,"

7",,,2,2,"

7",,3,2,6,2,6,,,,,,"
1",2,,"
1",,61,Kvinna,
3,3,5,5,,,4,4,,,,4,,,4,5,,,4,6,,"

7",5,,,,"

7",,5,,,3,4,,3,,2,2,,3,,,,"
1",,,,2,,2,,,,"
1","
1",,"
1","
1","
1",,"
1",,33,Kvinna,"Intressant att reflektera kring manligt och kvinnligt, som ju är ett komplext område. Försökte utgå från vad jag uppfattade maskulint respektive feminint, men noterade att det låg nära till hands att även börja blanda in attraktion. Alltså att värdera ansikten som jag fann mer attraktiva som även mer feminina eller maskulina. Och kanske dra ned poängen för de jag fann mindre attraktiva, även om jag såg tydliga könade drag. "
"
1","
1",,,3,,,3,,,4,,,5,4,5,,5,5,,,6,5,5,5,,5,,,,,,2,,4,6,2,4,5,,,3,,,2,,3,,,,2,3,3,,,,,2,3,,"
1",,32,Kvinna,Rätt svårt att bedöma 
,,6,,2,,,,,3,,,"

7","

7",,,,,,"

7","

7",,6,,"

7","

7","

7","

7",4,"

7",6,,6,2,6,"

7",2,,,5,5,,,2,"
1",2,,2,"
1",,,,3,,"
1",,,,2,,,,34,Kvinna,Jag hade gärna velat veta syftet med studien.
,"
1",2,3,"
1",2,2,,"
1",,,2,2,,2,,,2,,,5,4,,,4,,,,,3,,3,4,"
1",4,,3,,3,4,,,,"
1",,,,3,,,"
1","
1",3,"
1",,,"
1",,,,,,63,man,
4,3,,,4,,,,3,"
1",5,2,,,4,,,4,,5,6,,5,5,,5,,,,5,,,,,6,,,5,5,4,6,,,"
1",,4,,,4,,3,5,5,,,2,,4,,,"
1","
1",47,Kvinna,
"
1",,2,,,3,,,,"
1","

7",3,3,4,3,4,,5,,6,,,3,,,,,,2,,4,,,,5,"

7",3,,,3,,,,,,,,4,3,5,6,4,,2,,5,3,,,2,"
1",3,41,Kvinna ,Jag tror att jag tryckte fel första frågan på manliga ansikten. Valen hade bytt plats och jag var för snabb! 
2,2,4,,,,,3,3,3,5,,4,,2,,5,4,4,,,,,5,4,,4,,,,,3,4,,5,4,,,,,,3,,2,3,5,,3,2,3,,2,,2,,,,2,,,,"
1",68,kvinna,
"
1","
1",,2,,,"
1",,,2,4,2,3,,,,5,5,,,,"

7",,6,,,"

7",,,"

7",2,,6,,6,,2,,5,,,2,,2,,,,,2,4,,5,,"
1","
1",,"
1","
1",2,"
1",,,45,Kvinna,"Om jag inte missförstod alltihop, så tyckte jag att allt var begripligt. Intressant att se vad man tycker är kvinnligt/ manligt."
2,"
1",4,,2,5,2,,3,,,,6,,2,,,5,,,,6,,5,5,6,,6,,,,5,,,,,2,3,4,,,,,,,5,,3,,3,3,2,2,,2,,,2,"
1","
1","
1",,56,kvinna,
3,"
1",4,,"
1",4,4,,,,,,6,,,,5,,,,6,6,5,,6,,,6,,6,4,5,6,,,6,,,,4,6,"
1",,,"
1",,,,2,2,,,3,"
1","
1","
1",,"
1","
1",,,,23,kvinna,
"
1","
1",2,,"
1",,,,2,,,,,5,,,,4,,5,5,6,5,6,5,6,,,3,,,,,5,4,6,,,,5,,3,2,2,,,4,,,5,2,,,,2,3,,,3,2,,2,29,Kvinna ,"Förbryllande att se, i mitt tycke, rätt kvinnliga ögon/ögonparti, men med skäggväxt. Vissa var ju väldigt tydligt manipulerade, vilket kanske är meningen. Spännande för en själv att reflektera över vad jag tyckte var manligt vs kvinnligt, vad som för mig definierar det (det var mycket tydligt ögonpartiet).
"
3,2,,,,,,4,3,,5,,,,4,4,,,,5,,,6,5,4,,5,,4,4,2,4,,,3,5,3,3,4,,,,4,3,,,,,,,2,3,,,,2,2,3,,2,"
1",,37,kvinna ,
,,5,,3,,4,4,3,,,,,,4,5,2,,4,"

7",,,,,6,6,6,,3,,4,4,,,5,6,,,,4,"

7",,,,"
1",3,,5,3,,,3,4,2,,2,2,,,,,"
1",27,Man,"Tyckte frågorna var klara. Jag förstår även att bilderna var svartvita, samt klippta, för att öka fokus på själva ansiktena - även om detta bör ha nämnts i själva testet. Nu minns jag ej heller, men tror inte testet nämnde att man behövde fylla i ålder och könsidentitet, så det är lite småfult att ha det i slutet av testet! Tyckte testet verkar intressant! Personerna i en av bilderna hade tydlig skäggväxt dock, men jag antar detta var medvetet."
"
1","
1",,"
1","
1",2,,,,,6,,4,,"
1",5,4,"
1",2,"

7",,,,2,,,,"

7",,,,"

7",,4,,"

7",,6,,,5,3,,2,,"

7",,,,,6,,6,2,,,2,3,"
1",,,"
1",70,Kvinna,
2,2,,2,2,,,,,2,,,4,4,4,2,3,,,5,,,5,,,4,,5,,,3,,,4,,5,,,,,6,3,4,,3,4,4,,3,4,,,4,2,,,,2,2,2,,,42,m,
,,5,4,,5,,2,,,,4,,,4,,,3,3,,,6,,3,5,,6,6,2,6,,5,6,2,4,,,2,5,,,,,,,2,,"
1",,4,,,2,,,,3,3,,2,2,"
1",30,Kvinna,Intressant studie. Lätt att förstå.
,"
1",3,"
1","
1","
1",,,,"
1",,,,,3,,2,5,,,6,,5,2,,,,5,2,,2,6,6,3,6,6,,,,,,,3,,,6,2,4,"
1",,,,5,,,,"
1","
1",,"
1",,"
1",25 år,Kvinna,Tydliga instruktioner vilket var bra.
,"
1",,"
1",,,,"
1",,2,,3,4,"

7","
1",4,2,,,,,,3,,6,3,6,,,,5,,5,,5,,"
1",5,2,2,"

7",,3,,,5,"
1","
1",,,,,4,,,,,,2,,"
1","
1",20,Man,
"
1",,,"
1",,,,,"
1",,"

7",,4,4,,,,,2,6,,6,3,3,5,,,,2,2,3,"

7","

7",,"

7","

7",,5,,,,,,3,,,,5,5,,,,4,,3,2,2,,6,3,2,,31,Kvinna,
,,,2,"
1",3,3,,"
1",,,2,5,,,3,4,,2,6,5,"

7",,3,,,,5,,,,,4,4,,4,4,4,6,,4,,,,3,5,4,,3,,,,5,2,,,3,,,2,,,27,Kvinna ,
4,2,,,3,,3,2,,,5,,,6,5,4,,,5,4,,5,5,6,,,,,,,3,,,4,,4,2,,,,6,,,"
1",,,,"
1",2,,,5,3,2,,3,"
1",,,2,"
1",4,23,Man,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,4,,5,,,,4,5,4,4,,,,4,4,,,4,,,,4,,,4,4,4,,4,,,
2,"
1",4,3,,,,,,,5,,,,,,,5,4,,5,,,5,6,6,"

7",5,,6,4,,"

7",5,6,,,5,,,4,"
1",,,"
1",5,,5,,,,4,"

7",4,,2,,2,,3,,,29,Kvinna,
,,,2,2,6,3,2,,,"

7",2,,,,6,6,4,,,"

7",,6,,,6,,"

7",,,4,5,,3,,6,,,,5,5,,,"
1",,"
1",2,,,2,"
1",2,,"
1",,"
1","
1",,"
1",,,,43,Kvinna,Lite besvärligt att göra på telefonen eftersom man var tvungen att skrolla för att se svarsalternativen. 
,"
1",,"
1",,,,"
1",,,5,,5,,2,,2,,"
1",6,6,"

7",,,3,4,,6,,,2,,"

7",,,,,,6,,4,"
1",,"
1",,,2,2,,3,"
1",4,2,"
1","
1",,"
1",,"
1",,,,45,Kvinna,
,,,"
1","
1",,4,,"
1","
1",,3,,4,2,4,,3,3,,,,4,,5,"

7",,"

7",,,,"

7",,4,"

7",,"
1",,,6,,,5,"
1",,6,4,,3,5,,,,,"
1",,,,,"
1","
1","
1",51,Kvinna ,
"
1","
1",3,2,"
1",6,"
1",,,,,,,"

7",,,,,5,,"

7",,"

7",,,"

7","

7",,,"

7",2,6,6,,5,,,,,,,,3,"
1",,3,,,"
1",,,,2,"
1","
1","
1","
1","
1","
1",,,"
1",38,Kvinna,
"
1","
1","
1",,,"
1",,"
1","
1",,"

7","
1",,3,,,,,,,"

7",,2,,,6,,"

7",,6,"
1","

7","

7",,"

7","

7",,,,,"

7",,"

7",3,4,,6,,,"

7",3,,6,,"
1",3,,"
1",,,,,59,Kvinna,
3,2,3,3,,,,,,,,5,"

7",,,5,4,,,"

7","

7",,,,,6,6,"

7",,"

7","

7",,,,6,,2,5,,5,,"
1",5,,,"

7",,,,,,3,,"
1","
1",2,3,,,2,"
1","
1",19,Kvinna,
"
1",,4,,"
1",,,,,,,,5,5,2,4,4,,,,,"

7",,5,"

7",6,,6,,4,3,"

7","

7",,,6,"
1",,6,6,,,,3,,,,4,,,,5,,"
1",2,2,"
1",,3,,"
1",,46,Kvinna,
,2,2,,,,,,,,,4,4,,"
1","
1",4,,,,,6,,4,6,6,5,6,3,4,,"

7","

7",6,6,"

7",,,"

7",5,,,,4,,,5,3,,"

7",,,,,,2,,5,"
1","
1",,,38,Kvinna,
,"
1",2,,"
1",5,,"
1",3,"
1",,2,3,,2,,,,,,,,6,,4,,,"

7",3,,3,,,5,"

7","

7","
1","

7",,,,"
1",,,,,4,3,2,,,3,4,,2,2,"
1",,"
1",,,,48,Man,
,"
1",3,,,3,3,2,,"
1",5,,,,,,2,,2,5,6,5,,,,,,4,"
1",4,,6,,,5,6,,,,,5,,,,2,5,,3,,4,2,,,,"
1","
1",2,2,,"
1",,"
1",67,Kvinna,
"
1",2,2,,"
1",,2,2,"
1",2,4,,6,,"
1",,3,3,,,,,,,,,6,,,,2,5,6,,"

7",,,5,,6,,2,5,3,,,,,,4,,4,5,"
1",2,,,,,"
1","
1",,26,Kvinna,
"
1",,,"
1","
1","

7",,,,,,,,"

7",,,,4,2,"

7","

7",,"

7",6,6,,4,"

7",,"

7",,,"

7",4,,"

7","
1",6,,,,"
1",,,"
1",4,,,"
1",,"
1",,,,"
1",,"
1",,"
1",,"
1","
1",20,Man,Intressant!
"
1",,4,,"
1",3,3,,2,,,4,,4,,,4,,,,,"

7",,,5,,6,6,,5,3,,4,4,,6,,,,,,4,,4,"
1",,,5,2,3,,,4,"
1",,,3,,2,,"
1",2,49,Kvinna,
"
1","
1",,"
1","
1",,,,"
1",,,"
1",5,5,"
1",,,,3,,,,"

7",5,"

7",,,"

7",,"

7",,"

7",,,,"

7","
1",,,5,,"
1",,"
1",,5,,"
1",3,"

7",,,,,,"
1","
1",3,"
1",,"
1",,53,Kvinna,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"
1",,4,3,2,2,,,2,,,2,4,4,3,,,,,,6,,,3,,,,,2,4,2,5,5,,,"

7",4,,5,,5,2,,3,,,,5,2,5,,,4,2,,,2,,,,"
1",,59,Kvinna,
3,,4,4,3,,,,3,3,5,,6,,,,,,,6,,,,,,,,,,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,4,,,,,,4,,,,,,,,,,,,,,,2,,,,,,,,,
,,5,,,,,,,"
1",,,,,6,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,2,,,,3,,,,,3,,,,4,,,3,2,,,,,2,2,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,6,,,,,,5,,,"
1",,"
1",,5,4,2,,5,,3,5,,"
1","
1","
1",2,,,,,,,
,,2,"
1",,,2,,,,3,,,,,3,2,,3,6,,"

7",,4,"
1",,3,5,,2,2,,6,,6,5,,5,,,5,3,,,,4,5,,,5,4,,4,,,3,,"
1",2,,"
1",,43,Kvinna,
2,,2,3,,3,3,3,,2,5,,4,,2,,,5,2,,,,,4,,5,,6,,,,,,,6,6,5,,,5,,2,5,3,,6,,,,5,3,4,,,,2,,,2,2,,2,41,Kvinna,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,4,,6,,,6,3,,,,,,5,,3,,4,4,,3,2,,2,,2,2,3,,,,,
,,5,"
1","
1",,,"
1",,"
1",,4,"

7",,,6,,6,6,6,,,,6,"

7",,"

7",,,,2,,,2,6,,2,,5,,6,"
1",3,,,,3,2,2,4,2,,,,,,,2,,,"
1","
1",,,
"
1",,2,,,,,,,,,,,,,,,,,"

7","

7",,,,,,5,"

7",4,6,,,6,,5,6,"
1",2,4,,,,,,,,2,2,,,"
1",,2,,2,"
1","
1",2,,,"
1",,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"

7",,"

7","

7",,,5,4,,,,,,,4,,6,,,3,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"
1","
1",,,,,,,3,"
1",3,,3,2,3,4,,,,,3,,5,4,,5,2,4,,,4,,,6,3,,6,,5,,3,,"
1",3,3,,,2,,4,3,,,"
1",,2,,"
1",,,13,Tjej,
,,,,,,,,4,,,,,,,,2,,,,,6,,,,,,,2,,4,,5,,,,,4,,3,5,3,,,3,,4,,3,5,,3,5,2,,2,,,2,2,,,,,
,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,6,,5,,,6,3,5,2,4,5,5,,3,,,6,,,"
1",,,3,4,4,,,,,
"
1","
1",,"
1",,,,2,,"
1",5,"
1",4,,,,3,4,5,,6,,,,,,,,2,4,"
1",,,,,3,,,,5,,"
1",,,,,,,,,,,3,,,,,,,,,,,,
,,4,,"
1",6,2,2,4,2,6,,,,4,,,,5,,"

7",,"

7",6,,6,,,,6,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"

7",,,,4,"

7",,6,"

7",,,,,3,5,,2,6,,4,,,"
1","
1","
1",,2,,"
1",,,,
,"
1",,3,2,,2,3,2,,,4,,,2,,,5,,"

7",4,,,,,,6,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,"

7",5,,,4,6,,,,4,4,4,,5,,5,,4,,,,3,3,3,2,4,,,,,,,
"
1",,2,2,,3,2,,,"
1",2,2,,,,,,4,,,,6,4,,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,,,,2,,,,,2,,,2,,,,,,2,,,,,,
"
1",,2,,"
1",,"
1",,"
1",,,"
1",,3,,,,,"
1",,"

7",,5,,,"

7",,6,"
1",4,"
1",6,,6,6,,,,,,,2,"
1",,,5,,,"
1",,,,6,,2,,,,,,"
1","
1",,,
